index,WoFCO2,W,L,XCO2,Ntubes,heat,deltaP,Re,COfinal
16,6.623127394967113,1655.781848741778,1.1818181818181819,0.07266604089231725,82713.43418161463,212.45893899767728,-6.035070278187504,8854.66370162132,18.16751022307929
17,6.877863064004307,1719.4657660010769,1.2272727272727273,0.07497391238587613,80167.4580293355,219.2062577392629,-6.266976996016638,8854.66370162132,18.744478096469035
18,7.132598733041504,1783.149683260376,1.2727272727272727,0.07724819971672446,77807.34615147326,225.85538944959006,-6.498870966709092,8854.66370162132,19.313049929181098
19,7.387334402078701,1846.8336005196752,1.3181818181818183,0.07948878587156184,75614.2658534282,232.40599202727464,-6.73075250290367,8854.66370162132,19.873196467890466
20,7.6420700711158975,1910.5175177789745,1.3636363636363638,0.0816965603017145,73570.9598823371,238.8606658820966,-6.962621867501184,8854.66370162132,20.425140075428686
21,7.896805740153095,1974.2014350382738,1.4090909090909092,0.08387574857454354,71659.59300629223,245.23176492974224,-7.194479408667576,8854.66370162132,20.969937143635917
22,8.151541409190289,2037.8853522975724,1.4545454545454546,0.08602342502593092,69870.60977949906,251.51073566608918,-7.426325360881947,8854.66370162132,21.506856256482685
23,8.406277078227488,2101.569269556872,1.5,0.08813992261348653,68192.88801883005,257.6985515297076,-7.658159979939683,8854.66370162132,22.03598065337167
24,8.661012747264683,2165.253186816171,1.5454545454545454,0.09022560281664699,66616.59207938958,263.79626934589186,-7.889983535847023,8854.66370162132,22.557400704161772
25,8.915748416301879,2228.93710407547,1.5909090909090908,0.09228078512015758,65133.040473526366,269.8048231637946,-8.121796312821061,8854.66370162132,23.07119628003944
26,9.170484085339078,2292.6210213347695,1.6363636363636365,0.09430583815880846,63734.48159459614,275.7252907281831,-8.353598531130046,8854.66370162132,23.57745953970212
27,9.425219754376275,2356.304938594069,1.6818181818181819,0.09630107128347584,62414.040758342286,281.5585764607175,-8.585390524729064,8854.66370162132,24.076267820868956
28,9.67995542341347,2419.988855853367,1.7272727272727273,0.09826676647476745,61165.58219646409,287.3055047630356,-8.817172499675507,8854.66370162132,24.567691618691875
29,9.934691092450667,2483.6727731126666,1.7727272727272727,0.10020330111395197,59983.53989682542,292.967178951206,-9.048944718870189,8854.66370162132,25.05182527848792
30,10.189426761487862,2547.3566903719657,1.8181818181818181,0.10211092129925066,58862.98072646142,298.54431852072605,-9.28070744521392,8854.66370162132,25.528730324812678
31,10.444162430525061,2611.040607631265,1.8636363636363638,0.10398993573076462,57799.41495707573,304.03782599063777,-9.51246089897495,8854.66370162132,25.998483932691116
32,10.698898099562257,2674.724524890564,1.9090909090909092,0.10584060748547233,56788.80376732396,309.4484704957214,-9.744205378581228,8854.66370162132,26.461151871368095
33,10.953633768599452,2738.4084421498633,1.9545454545454546,0.10766320612814946,55827.478584033015,314.7770401385474,-9.975941061668436,8854.66370162132,26.916801532037308
34,11.20836943763665,2802.0923594091623,2.0,0.10945798405136384,54912.11123581879,320.0242728168349,-10.207668218242816,8854.66370162132,27.36549601284099
35,11.463105106673847,2865.776276668462,2.0454545454545454,0.11122515169396024,54039.68791257363,325.1907837719253,-10.439387089888896,8854.66370162132,27.807287923490048
36,11.717840775711043,2929.460193927761,2.090909090909091,0.11296489735151852,53207.4649327461,330.2771235068704,-10.671097903980353,8854.66370162132,28.242224337879648
37,11.97257644474824,2993.14411118706,2.1363636363636367,0.1146774111629312,52412.928855420425,335.28384791384684,-10.902800873680007,8854.66370162132,28.670352790732746
38,12.227312113785432,3056.828028446358,2.1818181818181817,0.11636284689283821,51653.78975901304,340.21140654086696,-11.134496247677816,8854.66370162132,29.091711723209528
